"","CNS2:(Intercept)","CNS2:age_Dx","CNS2:sexM","CNS2:SES2","CNS2:SES3","CNS2:SES4","CNS2:SES5","CNS2:ruralY","CNS2:distanceshort","CNS2:dxyear2003","CNS2:dxyear2004","CNS2:dxyear2005","CNS2:dxyear2006","CNS2:dxyear2007","CNS2:dxyear2008","CNS2:dxyear2009","CNS2:dxyear2010","CNS2:dxyear2011","CNS2:dxyear2012","CNS2:lineageT","CNS2:protocolDFCI","CNS2:cytogenetics_catFavorable","CNS2:cytogenetics_catNeutral","CNS2:cytogenetics_catUnfavorable","CNS2:wbc_cat>=50","CNS2:leukemia_risk_groupstandard","CNS3:(Intercept)","CNS3:age_Dx","CNS3:sexM","CNS3:SES2","CNS3:SES3","CNS3:SES4","CNS3:SES5","CNS3:ruralY","CNS3:distanceshort","CNS3:dxyear2003","CNS3:dxyear2004","CNS3:dxyear2005","CNS3:dxyear2006","CNS3:dxyear2007","CNS3:dxyear2008","CNS3:dxyear2009","CNS3:dxyear2010","CNS3:dxyear2011","CNS3:dxyear2012","CNS3:lineageT","CNS3:protocolDFCI","CNS3:cytogenetics_catFavorable","CNS3:cytogenetics_catNeutral","CNS3:cytogenetics_catUnfavorable","CNS3:wbc_cat>=50","CNS3:leukemia_risk_groupstandard"
"CNS2:(Intercept)",2.93961584833621,-0.0237642602031564,-0.039973526631327,-0.060233114042517,-0.0475220372806913,-0.0604255057493643,-0.0798459836903097,-0.139765707670682,-0.125821379263083,0.0000190117105371453,-1.15538027563728,-1.14774156647092,-1.14650650535746,-1.14078401242625,-1.18390721866009,-1.18636398744403,-1.15964608560533,-1.17856155111509,-1.14748207605419,0.0452993554167342,-0.0616393796392561,-1.21795167225617,-1.19152628696459,-1.17637633021883,-0.324724932572381,-0.306135634801219,0.330353438931767,-0.00531436685400691,-0.00850324999495491,-0.00819541009107987,-0.00855155362757261,-0.00555987296466488,-0.0145193483756,-0.0145752183803353,-0.0143663216259185,0.000000516658520558572,-0.116717663155474,-0.116909844629081,-0.120401297802389,-0.11613634163138,-0.121410910313765,-0.126253805385129,-0.119481779979057,-0.123669210891759,-0.118716205198439,0.0133678720542304,-0.00531888229205829,-0.110933384687764,-0.10767573330413,-0.101433257398793,-0.0615529035802524,-0.0579102094364028
"CNS2:age_Dx",-0.023764260203163,0.00160410013041093,-0.000513180599709944,-0.00038147982909515,-0.000571308735037727,-0.000625745801069445,-0.00009070552891182,-0.000539193971394197,0.000574178694320323,-0.0000000392078112378722,-0.000452425659656186,-0.000175731997380663,0.0000718961700394125,-0.000368134633451966,0.00113679681798983,0.000955142073016471,0.000994870852214235,0.0012829326218766,-0.000145078349179434,-0.00314831262637302,0.00147571800188299,0.00321288587813765,0.00205237087563313,0.00123627341295364,0.0128461885207722,0.0147717230669753,-0.00536981439013161,0.00034954596320943,-0.0000729921569728937,-0.000211712726347403,-0.000119088035507204,-0.000536643170809295,-0.0000543224991468607,-0.00000365132266730463,0.0000576107938029552,-0.00000000171607782309668,0.0000142923555985464,0.0000335648270839966,0.000129315017653669,-0.0000126181504042882,0.000198733858756104,0.000232443202220008,0.000202539961217944,0.000237441676472424,-0.00001100596750083,-0.000585956614714284,0.000311968713821515,0.000921537647674637,0.000608489821664458,0.000433352320148984,0.00276585837481823,0.00326222392536008
"CNS2:sexM",-0.0399735266312965,-0.000513180599710339,0.0639839895339274,0.00357110434420978,0.00521905130935701,0.00514876891610001,0.00615873385831514,-0.000747753327792504,-0.00132730711548877,-0.0000000885141254574634,-0.0021515539349755,0.0045896518407767,0.000896819493427244,0.00144647407464393,0.00486532756196239,0.00271231201406107,0.00545977970353999,0.00390949120319822,0.000868852874881518,-0.00966062374793515,0.000322422299328148,0.00451698047350652,0.00596276456378801,0.00566142275409861,-0.00395044430431553,-0.00704832804844055,-0.00628612429195707,-0.0000974414036119361,0.0107530119996885,0.00229614964583138,0.0019162608134244,0.00264724532682717,0.00208899807647845,-0.000151377960229631,-0.000458605377176133,-0.00000000167437068459891,-0.00150074033787949,-0.000348914150881442,-0.000242974505123805,-0.000372401823766868,-0.0000564623587379722,-0.000615327057004501,0.000206033199180445,0.000283876703100428,0.000456448597672646,-0.00250698723188784,-0.000343740808915093,0.000321191809497083,0.0010939153232843,0.00055457880660624,-0.000329709689929591,-0.00099224765212187
"CNS2:SES2",-0.0602331140424919,-0.000381479829095484,0.00357110434420997,0.167218972240177,0.0762408796178833,0.0761238451236202,0.0753874101308437,0.00731567040881472,0.000162560325659659,-0.000000217686485080309,0.00914147072697978,-0.000370180819845154,0.0164021472398874,0.0178903897752293,0.0148403145777264,0.0038980746266209,0.0096820613117369,0.00517840340931689,0.0115173885262215,0.00303680501425241,0.00797175674892141,-0.0234549081909117,-0.022999819160251,-0.016019403265024,-0.00387533710882577,-0.0071057114019253,-0.0116263681228895,-0.0002491434285992,0.00285452925790097,0.0303800251436989,0.0151157214061265,0.0151366945476596,0.0147962134647546,0.000925606991130277,0.000527764146602828,-0.00000000850697187238953,0.00171729138301907,-0.000551012136239211,0.00235098051629223,0.0022426877990465,0.00274167987902389,0.000777003290168342,0.00211086725142768,0.000198923427901119,0.00195318597945417,0.000605244922103374,0.000755029798787459,-0.00524843615289943,-0.0043180477919009,-0.00271128528798605,-0.00092050166900382,-0.00233225451416977
"CNS2:SES3",-0.0475220372806731,-0.000571308735037973,0.00521905130935718,0.0762408796178834,0.150403545387044,0.0768903778927334,0.076232618670471,-0.00191982781182235,-0.00512008572969764,-0.000000109350463572464,0.00730663877279993,-0.00432142956333637,0.00795843435934293,0.00868414866277163,0.00312080692525563,0.00011313394972827,-0.00389828764864614,0.00373932213933223,-0.00059476730339483,0.00754660297320118,-0.0047941904839817,-0.025535947436127,-0.0290714962428546,-0.0224419153380663,-0.0014942448936447,0.00077110511789516,-0.0105151594943097,-0.0000951187632449632,0.00231899858664525,0.0150008253766337,0.0266499100136639,0.0155307618204521,0.0152446251505084,0.000547140213418699,-0.00083346773123048,-0.00000000586737361095614,0.00174749219564837,0.000600930318270312,0.00266727134431341,0.000753731822138807,0.00183222740989967,0.000108530501016512,-0.000372215233761956,0.000500117687313717,-0.00065689847268596,0.00164059400281888,-0.00156208836157082,-0.00570625707605646,-0.0062073630591868,-0.00515377804375322,0.0000170837717872167,0.000775997017460247
"CNS2:SES4",-0.0604255057493424,-0.000625745801069755,0.00514876891610033,0.0761238451236203,0.0768903778927334,0.134248664013416,0.0769043456425073,0.0105225364225786,-0.000616681242383129,-0.000000124812527194177,0.0110969706642391,0.00220922814549254,0.00639533189170685,0.00917839185092362,-0.000392818633971429,-0.0043623266486683,-0.00367062747798165,-0.00191867760628046,0.00397144381190523,0.00567728692093465,0.000699587511201528,-0.0178128201326204,-0.0192946336176099,-0.0219575517701909,-0.00144731426994379,0.00201735847936377,-0.0062000978897946,-0.000243442255445042,0.00187252437347269,0.0151633113450314,0.0153408569711518,0.0290814876607351,0.0154710349465012,0.00196951061285103,-0.000966551718096226,-0.00000000232652239018738,0.00113166798843916,-0.000592595252422856,0.000877393707021524,0.000151614303675194,-0.000480057799674873,-0.00391549461937218,-0.00202034859260305,-0.00146326737704708,-0.000589326467522357,0.00118775664930842,0.000293408605724351,-0.00547570296343277,-0.00619180438853491,-0.00697177323750318,-0.00252333951258369,-0.000723718154217113
"CNS2:SES5",-0.0798459836902913,-0.0000907055289121521,0.00615873385831557,0.0753874101308439,0.0762326186704711,0.0769043456425074,0.174026792917196,0.00580666167976314,-0.00240948285085761,-0.000000182346389411603,0.00954145410004522,0.00804795491096664,0.0115218222278906,0.00862745004159886,0.00310875025667457,-0.000198442896037595,-0.00302649756653135,0.00146867778650225,0.00522304137966085,0.00230110321524872,-0.000804373347270705,0.00179243601226831,-0.00206472362884263,-0.000181163615370469,-0.00522913895539262,-0.000293148884537067,-0.011296648502585,-0.0000268820089093835,0.00191685415590795,0.0150069187759799,0.0152781319864969,0.0154115498710945,0.0321629255379577,0.00139776359860382,-0.00120017998628386,-0.0000000052608017591544,0.00150112563144393,0.000619565383422795,0.00210688216592794,0.00053980754902915,0.00107783031785187,-0.00267856881863384,-0.00184452061433712,-0.000918015621990945,-0.000126765949445616,0.000662525647623049,0.000246262157300867,-0.00259375997883307,-0.00391765817322091,-0.00418963236502825,-0.0017764914724391,0.000331418652788141
"CNS2:ruralY",-0.139765707670665,-0.000539193971394655,-0.000747753327791414,0.0073156704088155,-0.00191982781182196,0.0105225364225792,0.00580666167976332,0.234128085835977,0.0462073272162857,-0.00000078600906703035,0.0404908280937884,0.0531220351727041,0.0424555389655005,0.053886970828927,0.0418330995046289,0.0392950264628077,0.0468565845520889,0.0387920933507287,0.04777401085124,0.018385492236062,0.00818033294110363,0.0377022487011701,0.0359373436404255,0.0228579650683807,0.00375240131176972,-0.00273303766970554,-0.013677604353308,-0.0000513149037075792,-0.000407536995870452,0.00137991704302255,0.000330077014439756,0.00207788936924178,0.00174516516360003,0.0318117235072866,0.00559961300736358,-0.0000000207818932544538,0.00458808571813683,0.00528193962268407,0.00412224158155003,0.00569404540634069,0.00349293496639991,0.00307714982977055,0.00436072915806848,0.00300585856786761,0.00476126572257999,0.0035451370941045,0.00118189133264686,0.00240296100677151,0.00185055181522023,-0.00148194026394007,-0.000470232061509122,-0.0003494728725047
"CNS2:distanceshort",-0.1258213792631,0.000574178694320194,-0.00132730711548712,0.00016256032566113,-0.00512008572969662,-0.000616681242381901,-0.00240948285085649,0.0462073272162872,0.115031701225785,-0.000000208794092149737,0.00615392887318966,0.00219201769717055,-0.00114054693121726,-0.00283863153689182,0.000109446827599966,0.0057294943750791,0.00141383980236432,-0.00026155377383624,0.00628831361943525,0.00671707569022556,-0.00577584061904919,0.0192191488259692,0.0194355776699713,0.0170266452822829,0.00470763191229895,0.00702576008360478,-0.0161279941590963,0.0000628373734164735,-0.000208711651998117,-0.000325825304816001,-0.00154574384912391,-0.0000477742074607474,-0.000756407170786786,0.0061320144485132,0.0154002925034609,-0.00000000567183771191382,0.000521689343501186,0.000189884489326192,-0.000798913462615297,-0.000725161711688571,-0.000740969603792564,0.00119616055318012,-0.000538383489279194,-0.000356398245709322,0.00132845101964281,0.000877525780017191,-0.00191045148228822,0.00285825903402692,0.00370027040303788,0.00320790174098825,0.00136599047909039,0.000963961451522912
"CNS2:dxyear2003",0.0000190117105471842,-0.000000039207811241625,-0.0000000885141255159871,-0.000000217686485134494,-0.000000109350463537149,-0.000000124812527242828,-0.000000182346389478813,-0.000000786009067460432,-0.000000208794092261851,0.000000000238350101531794,-0.0000166864210017883,-0.000016230381451181,-0.0000162763903908305,-0.0000162472525017316,-0.000016272136654657,-0.0000162145029191505,-0.0000161942031049156,-0.0000162218456335567,-0.0000161564131089105,-0.000000137319821983663,-0.000000585523029146307,-0.00000198332527801958,-0.00000181353473786202,-0.00000181650499187448,-0.000000518894386072272,-0.000000437798982373825,0.00000436904031908728,-0.0000000179783970275292,0.00000000745252392468449,-0.000000112653913811078,-0.0000000484213808772229,-0.00000001638385064091,-0.0000000592665022338396,-0.000000195829597595518,-0.0000000412331177369841,0.0000000000106135802324957,-0.00000370677328606338,-0.00000373628996200476,-0.00000367055627490108,-0.00000365584614611742,-0.00000370618902971062,-0.00000364518811430056,-0.0000036510941562759,-0.0000036601758262396,-0.00000362181678028861,-0.0000000755272137425793,-0.000000253540260505114,-0.000000380999436535341,-0.00000034490777542416,-0.000000388636984140721,-0.000000224085145099784,-0.000000226897837961795
"CNS2:dxyear2004",-1.15538027563702,-0.000452425659660993,-0.00215155393496791,0.00914147072698386,0.00730663877280302,0.0110969706642424,0.00954145410004582,0.0404908280937826,0.00615392887317077,-0.0000166864209929105,1.66387597169715,1.11433890605578,1.1141947459818,1.11477695390678,1.11231639201541,1.11134711359106,1.1129272483947,1.1135387065723,1.11481548902145,0.0283527361184696,0.00666924238322082,0.024643404277434,0.0196684531366492,0.0305653866374867,-0.00271854246429719,0.00668129686502543,-0.119666083752143,-0.000089645259170735,0.00123949471233215,0.0000391638838515736,0.00206952459330271,0.00114809125966293,0.00125770345266041,0.0063581372178291,0.00108360622692986,-0.000000449475664803108,0.167387307638878,0.112288695086735,0.111432871862932,0.112052817619231,0.111376484495267,0.111945302646334,0.111721077133857,0.111893232744299,0.111368896866605,0.00198316770507147,-0.00454447352051696,0.00889576936775463,0.00659893885646128,0.00654937909774589,-0.000890724334958133,-0.00294196988152545
"CNS2:dxyear2005",-1.14774156647063,-0.000175731997385573,0.0045896518407839,-0.000370180819841663,-0.00432142956333384,0.00220922814549541,0.00804795491096642,0.0531220351726976,0.00219201769715099,-0.0000162303814426862,1.11433890605577,1.29018480664001,1.12048218554618,1.12531485219997,1.12238475845416,1.12225351079967,1.12284473986523,1.11975674687716,1.12167838013568,0.0171944161336724,0.0283500992214882,0.0164344723340101,0.0047968965809475,-0.00086427818926179,0.0106650611153824,-0.00094387480421721,-0.116518473596835,0.000160178001981085,0.000895309075659964,-0.00269761360486096,-0.000335599376616539,-0.000308333012691773,0.00208761659236793,0.00560498043114388,-0.00140262952922647,-0.000000440336100047216,0.112292899855049,0.138541919021125,0.113742867611385,0.114295848892212,0.113752477775707,0.114176668245097,0.114288218606451,0.113646516900376,0.113667219085427,-0.0000214970380824908,0.00262029222208764,0.00324080365524186,0.00179444796271107,-0.00335202860000273,0.00187325685495683,-0.000114717378938201
"CNS2:dxyear2006",-1.14650650535719,0.0000718961700345783,0.000896819493434507,0.0164021472398912,0.00795843435934583,0.00639533189170993,0.0115218222278909,0.0424555389654948,-0.00114054693123631,-0.0000162763903822898,1.1141947459818,1.12048218554619,1.31277135039806,1.12738850038346,1.12582656392221,1.12238143907931,1.12455230084577,1.12209645874303,1.12426014464383,0.0157095932636834,0.0436995381914433,0.0128779878070451,0.00963517363496044,0.0110309691477658,-0.00706301655934549,-0.00719608160996977,-0.121279547383502,0.000234113009625652,0.00120167683082178,0.000529304689672671,0.0026816708132613,0.00103803585575576,0.00325539053403389,0.0037773550601458,-0.00133633261546057,-0.000000442006324549797,0.112366765274002,0.113296915430387,0.13981915011479,0.114416712946718,0.114374944859151,0.114040997104875,0.114253051619692,0.113464092713718,0.113192752307937,-0.000633249335636028,0.0035881234076749,0.0041495630827651,0.00478160550434607,0.00187688309005356,0.000969177597897455,-0.000491054280673288
"CNS2:dxyear2007",-1.14078401242598,-0.000368134633456727,0.00144647407465124,0.0178903897752332,0.00868414866277457,0.00917839185092682,0.0086274500415993,0.0538869708289213,-0.00283863153691067,-0.0000162472524932395,1.11477695390678,1.12531485219998,1.12738850038346,1.27562030374084,1.12889727490532,1.12699962690522,1.12827557221022,1.12513162321807,1.12679307131347,0.0122175560530169,0.0479517559232644,0.0091454507365594,-0.000653701301647783,0.00244345953775743,0.0018846820584381,-0.0123750012839015,-0.11602891962382,0.000100942765133491,0.000806108714141198,-0.000342756527682071,0.000666134721031722,0.000188676696292209,0.00178907193676114,0.00586281279659362,-0.00164318748227829,-0.000000440412668149103,0.112196547676166,0.114154308851852,0.114457530909841,0.135114996745286,0.114819928783543,0.114732551840808,0.115151773284513,0.113833191858293,0.11382001478748,-0.00100633893857139,0.00456980630450253,0.00217166766664886,0.00178727410228477,-0.00121493056268675,0.00119247195120493,-0.00224868802973582
"CNS2:dxyear2008",-1.18390721865983,0.00113679681798496,0.00486532756197021,0.0148403145777306,0.00312080692525881,-0.000392818633967976,0.00310875025667516,0.0418330995046234,0.000109446827580888,-0.0000162721366461258,1.11231639201542,1.12238475845417,1.12582656392221,1.12889727490532,1.26089383826524,1.12647674241623,1.1279051872196,1.12398456067438,1.1255153384068,0.00890209228582496,0.0497774740216532,0.0357029762192033,0.0301646637457984,0.0196771228169468,0.00925183380368585,0.00242766942573722,-0.122236796567159,0.000348347457879223,0.00115759844152121,0.000084641483832644,0.000949772999110032,-0.00109001491448073,0.00195035741579893,0.00395430252451691,-0.00177286824784385,-0.000000441748984512342,0.111889988277184,0.113562798621499,0.114523795833443,0.114855086470299,0.1354024332016,0.115071592518754,0.114903137153662,0.113962371038519,0.113995167248332,-0.00218924729299913,0.00519257926107591,0.00578716819567821,0.00561572125418219,0.00038319054971267,0.00217679878718283,0.000158139092507947
"CNS2:dxyear2009",-1.18636398744377,0.000955142073011664,0.00271231201406903,0.00389807462662514,0.000113133949731364,-0.00436232664866477,-0.000198442896036871,0.0392950264628026,0.00572949437506032,-0.0000162145029107084,1.11134711359107,1.12225351079969,1.12238143907932,1.12699962690523,1.12647674241624,1.22941416837078,1.12535543122662,1.12383453899053,1.12296000104951,0.0106677461475454,0.0441624144253858,0.0479944058903962,0.0313354655048476,0.0320298197139884,0.014491551324083,-0.00191212509946746,-0.125067357873832,0.000341078262938824,0.000745829203225052,-0.00276187322056427,-0.000992352382357671,-0.00391259793328654,-0.00123450020814188,0.00416372437061804,0.000147967526877379,-0.000000441102595039311,0.111673693501598,0.11372432700431,0.113634313156607,0.114376059439357,0.11441347719861,0.137620396676845,0.114638201258037,0.113759746737573,0.113288531566994,-0.0018893842943553,0.00332693969175791,0.00928645663881704,0.00825005673810294,0.00411062952916541,0.00481131591892196,0.000137817140885559
"CNS2:dxyear2010",-1.15964608560506,0.000994870852209416,0.00545977970354756,0.00968206131174087,-0.00389828764864317,-0.00367062747797837,-0.0030264975665309,0.0468565845520835,0.00141383980234544,-0.0000161942030964757,1.11292724839471,1.12284473986524,1.12455230084577,1.12827557221023,1.1279051872196,1.12535543122662,1.23225185405341,1.12363179774626,1.12459176813291,0.0123697418037872,0.0449804630557795,0.0140607489504485,0.00738834700086636,0.00542725404659519,0.0103349299622317,0.00318779862747541,-0.120139463487532,0.000338685466861653,0.00134300499518604,-0.000861401280493578,-0.000770822926294258,-0.00233135902449514,-0.0007296045446228,0.00475082140756462,-0.00142997466377956,-0.000000441036095062823,0.112755108536526,0.114478493642449,0.114806907604888,0.11554465888973,0.115195011211289,0.115572785105927,0.133089220486523,0.114895803084339,0.114686451857566,-0.000329555803481891,0.00452352063801156,0.00309749448694374,0.00233267414763083,0.000621190720623832,0.00278936955803377,0.000494403793275144
"CNS2:dxyear2011",-1.17856155111484,0.00128293262187183,0.00390949120320608,0.00517840340932122,0.00373932213933547,-0.00191867760627681,0.00146867778650317,0.0387920933507239,-0.000261553773854775,-0.0000162218456251043,1.11353870657231,1.11975674687718,1.12209645874304,1.12513162321808,1.12398456067439,1.12383453899053,1.12363179774627,1.24846462854555,1.12358406049164,0.0114685810911408,0.0416776824220025,0.0376398605727686,0.0177104616842494,0.0379429432982398,0.00773392690019003,0.00829388885072059,-0.123185735266781,0.000322014150203679,0.00173071441141764,-0.00277810400394917,-0.000179453929626133,0.000410755427832531,0.000170567619604726,0.00299302789803943,-0.00117658915153684,-0.000000440178353084617,0.111898996089935,0.113459337432631,0.113150173891534,0.113569856126931,0.113592757759339,0.113717832208452,0.114055650764915,0.137306276968453,0.112507493192162,-0.000946211816046649,0.00307466181587528,0.00732800982596003,0.00575948440256688,0.00559552986036449,0.00307767161781432,0.000906855665643143
"CNS2:dxyear2012",-1.14748207605392,-0.000145078349184255,0.000868852874888909,0.0115173885262253,-0.000594767303391992,0.00397144381190835,0.00522304137966114,0.0477740108512341,0.00628831361941626,-0.000016156413100403,1.11481548902145,1.12167838013569,1.12426014464383,1.12679307131347,1.1255153384068,1.1229600010495,1.1245917681329,1.12358406049163,1.2240635893472,0.0140186174632447,0.0440951210492866,0.0163794612333659,0.00407012596246118,0.00298389977195201,-0.00939732389710617,-0.00390673179002939,-0.117730711555534,0.0000897027235012221,0.00193252502059004,-0.00119160570664647,-0.00111188232376513,0.000661279412960332,0.00105662867270836,0.00454866480390155,0.000177272582404601,-0.000000437473040064031,0.111730523021182,0.11319187439703,0.112969431483898,0.113569351552716,0.113392699826984,0.113090461480765,0.113497577484961,0.112572576736046,0.13397626267664,-0.0012140866946713,0.00345230856841445,0.0030580812117403,0.00281084942258261,0.000446047856123372,-0.0000508132249304877,-0.00120252256499633
"CNS2:lineageT",0.0452993554167467,-0.00314831262637303,-0.00966062374793577,0.00303680501425179,0.00754660297320067,0.005677286920934,0.00230110321524806,0.0183854922360612,0.00671707569022535,-0.000000137319822025035,0.0283527361184606,0.0171944161336636,0.0157095932636743,0.0122175560530082,0.00890209228581596,0.0106677461475365,0.0123697418037783,0.0114685810911319,0.0140186174632359,0.175304693506364,0.00888865032730203,-0.0246911512017361,-0.0599891278328889,-0.0251984594480666,-0.0501128646272804,-0.0253136201210935,0.00605987992567291,-0.000618905660608815,-0.002660450960773,0.000120515918294637,0.00131512562427839,0.00202218653416366,0.000394028816420233,0.0034352666342802,0.00180853039824674,-0.0000000123257519276369,0.00912122690763064,0.00647127743580022,0.00460640468423794,0.0043148897222998,0.00289602326669489,0.00459520982819007,0.00608199206453216,0.00549364703643058,0.00528127105621281,0.0376311173168075,-0.000187598049225674,-0.00511069154888708,-0.011566125687324,-0.00635561302470212,-0.00901950504590088,-0.00457179837105886
"CNS2:protocolDFCI",-0.0616393796392573,0.00147571800188286,0.000322422299328735,0.00797175674892188,-0.00479419048398135,0.000699587511202027,-0.000804373347270209,0.00818033294110398,-0.00577584061904956,-0.00000058552302885892,0.00666924238322802,0.0283500992214959,0.0436995381914503,0.0479517559232714,0.0497774740216602,0.0441624144253926,0.0449804630557865,0.0416776824220094,0.0440951210492938,0.00888865032730233,0.164953381057315,-0.00822036322602311,-0.0208202759219705,-0.00985284753580493,0.0130244831172275,0.0096779955702647,-0.00541317887779233,0.000295009622430798,-0.000484811305946113,0.00140464607145267,-0.000605086265625438,-0.000568920376109254,-0.000000123739126454037,0.00103780264403059,-0.00215226103653814,-0.0000000153137310763372,-0.000277096224767653,0.00172497342371021,0.00424420414396236,0.005057823501251,0.00589264227866109,0.00395972612465299,0.00467265645027432,0.00328139554447985,0.00381793241279945,0.00136967333585,0.0175733589587304,-0.00183446468644272,-0.00433528442353867,-0.00206531958803311,0.00161337308742453,0.00187459973669563
"CNS2:cytogenetics_catFavorable",-1.21795167225635,0.00321288587813643,0.00451698047352163,-0.0234549081908967,-0.0255359474361162,-0.0178128201326074,0.00179243601228067,0.0377022487011857,0.0192191488259707,-0.00000198332527654039,0.0246434042776169,0.0164344723342006,0.0128779878072313,0.00914545073674268,0.0357029762193902,0.04799440589058,0.0140607489506338,0.0376398605729492,0.0163794612335509,-0.0246911512017336,-0.00822036322601859,1.19863739234767,1.1517655412905,1.14065992280646,0.0539075034269948,-0.000363063858400854,-0.106435513108949,0.00077291845361385,0.000455486366592719,-0.00433793068679346,-0.00533809577306742,-0.00611399554049193,-0.00120121171211957,0.00112830650709096,0.0021819029428912,-0.0000000449821300993508,0.0027262834254015,0.00128069390252826,0.00308389755517288,0.00093634716264783,0.00352603808564743,0.00827843613451737,0.00156537774267042,0.00620721577347276,0.00240125957421071,-0.00569602179395583,-0.00171082074281436,0.101909951881278,0.0967231326479454,0.0942437981583574,0.011686624013258,0.00218925633952399
"CNS2:cytogenetics_catNeutral",-1.19152628696478,0.00205237087563197,0.00596276456380285,-0.0229998191602361,-0.029071496242844,-0.019294633617597,-0.00206472362883036,0.0359373436404411,0.019435577669973,-0.00000181353473644152,0.0196684531368294,0.00479689658113553,0.00963517363514416,-0.000653701301467035,0.0301646637459828,0.0313354655050291,0.00738834700104931,0.0177104616844276,0.00407012596264362,-0.0599891278328866,-0.020820275921966,1.1517655412905,1.1908733605797,1.13750657987038,0.047508114151296,0.0065297160430711,-0.102810480715206,0.00048084003568123,0.00141194126225217,-0.00404045760434865,-0.00594967950879705,-0.00612668759204924,-0.00232271635255458,0.000673450745368414,0.00305451389141236,-0.0000000394290937302178,0.000887287493373967,-0.000543190498289853,0.00285287007514026,-0.0000954379437669017,0.00296105153550973,0.00694966970610915,0.00000870220099419283,0.00399769580584733,0.00125741043072368,-0.0119797814311514,-0.0042730111747961,0.0963874166268454,0.103603134097802,0.0940532898469663,0.010448814358969,0.00186072636965009
"CNS2:cytogenetics_catUnfavorable",-1.17637633021902,0.00123627341295248,0.00566142275411318,-0.0160194032650095,-0.022441915338056,-0.0219575517701783,-0.000181163615358494,0.022857965068396,0.0170266452822845,-0.00000181650499051516,0.0305653866376655,-0.000864278189075265,0.0110309691479479,0.00244345953793674,0.0196771228171296,0.0320298197141684,0.00542725404677661,0.0379429432984164,0.00298389977213283,-0.0251984594480641,-0.00985284753580046,1.14065992280646,1.13750657987038,1.27038422595865,0.0379750444609884,0.00673610503227946,-0.10243306516819,0.000257786014008542,0.00111625929026676,-0.00292779644578438,-0.0055465848845095,-0.00439524607376226,-0.00199469522897419,-0.000147876533022959,0.00202864230081694,-0.0000000457874531186308,0.00529354457494691,0.00215392303742397,0.00554868768633796,0.00339581230410339,0.00513023744505781,0.00887113546045205,0.00531811122672453,0.00990893096337639,0.00500262415008819,-0.00695801597307777,-0.00184319710130727,0.0942201369684431,0.0947651806545644,0.129527214118028,0.00882578414056197,0.00167736988588928
"CNS2:wbc_cat>=50",-0.324724932572456,0.0128461885207721,-0.00395044430431077,-0.00387533710882188,-0.00149424489364187,-0.00144731426994008,-0.00522913895538873,0.00375240131177499,0.00470763191230031,-0.000000518894386039181,-0.00271854246423976,0.0106650611154415,-0.00706301655928764,0.00188468205849496,0.00925183380374423,0.0144915513241407,0.0103349299622896,0.007733926900247,-0.00939732389704824,-0.0501128646272804,0.0130244831172289,0.0539075034270055,0.0475081141513059,0.0379750444609984,0.265769781077645,0.2218084490531,-0.0643764184674967,0.0026932190569661,0.000350382855161474,-0.00187609179609199,-0.00131189918247811,-0.00259061412788498,-0.00171470975335328,-0.0000352198611542024,0.00201863279583759,-0.0000000212738908294646,-0.00150291665506256,0.00230264879818378,-0.0000581743757280713,0.00130710869778316,0.00202115853367956,0.00542046474324748,0.00272020192991851,0.00327330458982852,0.0000112885308297221,-0.0101801370656821,0.00134629343387093,0.0146187377935454,0.0133478255101667,0.0129638030904306,0.0469150363575615,0.0374940869564341
