"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012","lineageT","protocolDFCI","cytogenetics_catFavorable","cytogenetics_catNeutral","cytogenetics_catUnfavorable","wbc_cat>=50"
"(Intercept)",35796230188.8112,-148373251.945612,3561210.50056833,136743598.293237,221770464.164762,332673391.383072,-170144431.982146,269292411.969556,-196735446.424039,-26293980179.082,-25740593161.6138,-26612385007.8715,-26533435515.8839,-26378679912.4735,-26579270368.9298,-26843662650.1252,-26371956075.9635,-26603888474.9301,-26261469448.5579,123331763.210401,-81372166.6748757,-8164990814.12816,-7777479540.11017,-7381580704.03882,-1686446621.12516
"age_Dx",-148373251.945612,19653747.0543547,15395212.7755049,38640184.5426968,32155547.2432127,21585230.0081567,96887802.0890703,-9148106.26973374,8286030.5851484,24247640.4780843,170692675.516491,4845717.52533293,37637072.2059809,28371387.2008589,84002447.5175282,16130580.5969457,33033885.6907026,35063900.9467908,12845792.4567,7253711.94301702,7043892.87012253,-105738889.835924,-101954869.644408,-57038128.7562101,1378503.50616854
"sexM",3561210.50056833,15395212.7755049,252353467.033182,190855565.936608,143604989.203419,151189422.001736,311946761.920643,-4593074.43884182,-132516003.170866,212420160.11932,563400784.905367,16733880.3105941,127491597.835445,71252053.7153467,300391004.733367,24429286.8965283,227018205.634429,239430712.565996,46664516.0539647,-36590251.8749723,-48792784.938431,-438650508.947675,-448737652.142211,-278694117.763511,-454587627.175821
"SES2",136743598.293237,38640184.5426968,190855565.936608,411651016.846769,363171987.487078,304252054.011159,611478593.05421,29371967.078117,-21060479.5515328,77258011.319811,1206207783.42486,-123091305.538585,158626006.331782,131855258.861308,522392351.783807,-112252420.081971,208096624.70012,112527111.966365,38007213.0185325,124669046.341985,23561668.9714503,-1057319957.20019,-931682718.059369,-531218616.983177,-906228651.936586
"SES3",221770464.164762,32155547.2432127,143604989.203419,363171987.487078,383021133.734179,319451210.630833,523947631.333236,89373119.5617298,-31151307.1902176,80651142.9942325,1054049128.58289,-166083553.847099,64223157.7834068,96391740.5351768,382574662.745886,-179086597.473398,120956789.548977,58456438.8058649,4400702.80766122,117951896.793466,16144601.2778853,-1002946462.44845,-844433412.577765,-457548950.608091,-781125986.883696
"SES4",332673391.383072,21585230.0081567,151189422.001736,304252054.011159,319451210.630833,422896424.36837,431625911.564196,116166714.069649,-199234794.254904,324770413.937387,929108311.484802,-91414169.6870879,36879701.2646305,74773796.7761006,275189631.162959,-265073543.607369,170463780.288936,128626271.302341,117049601.206354,54828523.0790515,-84249830.067523,-936963015.03511,-707941996.094951,-387487563.815549,-603002485.535413
"SES5",-170144431.982146,96887802.0890703,311946761.920643,611478593.05421,523947631.333236,431625911.564196,1421762374.85255,-123715757.672931,-13399327.7248192,219163386.916472,2918818069.2088,219796915.434275,774206790.659773,634962074.171029,1407844863.57037,255312428.017684,803588023.51584,579829934.906429,501227446.289369,194730149.759985,-2896230.76202555,-2026635341.91583,-1835633119.13568,-1220208883.9214,-1730061491.08232
"ruralY",269292411.969556,-9148106.26973374,-4593074.43884182,29371967.078117,89373119.5617298,116166714.069649,-123715757.672931,314105707.09611,-60211045.3520477,69349475.6477968,-386765230.87803,-226121481.283914,-311100264.748347,-153558996.701409,-420750975.755367,-288399585.468242,-178817447.587932,-172462564.556427,-131482372.39379,2645662.83183445,-31872244.6474786,-72415604.6668119,43349836.6358814,103968030.988513,234558004.072277
"distanceshort",-196735446.424039,8286030.5851484,-132516003.170866,-21060479.5515328,-31151307.1902176,-199234794.254904,-13399327.7248192,-60211045.3520477,318489168.999258,-462166689.813911,-80846494.1918924,-94098508.9310781,27822562.4059081,-9000785.73373261,33669890.7603718,81799350.3706395,-158584459.575567,-222633207.138668,-179197150.889712,99496024.9725558,164866023.335925,143835674.959158,52112078.301188,30286255.9182197,-39477821.0282439
"dxyear2003",-26293980179.082,24247640.4780843,212420160.11932,77258011.319811,80651142.9942325,324770413.937387,219163386.916472,69349475.6477968,-462166689.813911,3756827686295.95,26744669464.0014,26496668688.3935,26348849721.0136,26386516566.1421,26404467968.8248,26243884622.5794,26660701537.9185,26722252279.6666,26665036646.1562,-140851930.88588,-319242558.591075,-393263811.387441,-260767790.666484,-170721067.314951,90753569.7521238
"dxyear2004",-25740593161.6138,170692675.516491,563400784.905367,1206207783.42486,1054049128.58289,929108311.484802,2918818069.2088,-386765230.87803,-80846494.1918924,26744669464.0014,106662584575.85,26768628054.4983,27995793400.9269,27672768326.0494,29517681745.5718,26754226542.489,28004172171.1324,27444334616.344,27475118597.7295,430885432.498997,-26838400.3740478,-4817707447.16199,-4276415562.57128,-2773264565.88479,-4601340035.19992
"dxyear2005",-26612385007.8715,4845717.52533293,16733880.3105941,-123091305.538585,-166083553.847099,-91414169.6870879,219796915.434275,-226121481.283914,-94098508.9310781,26496668688.3935,26768628054.4983,26854288052.6603,26733148688.1107,26635523815.25,26720449166.8945,26812065698.1892,26738591597.3499,26777089443.1124,26751341724.1527,-71921678.0493396,-115273949.559626,79734507.2942757,-56316280.2812539,-208153259.484949,-40393085.542996
"dxyear2006",-26533435515.8839,37637072.2059809,127491597.835445,158626006.331782,64223157.7834068,36879701.2646305,774206790.659773,-311100264.748347,27822562.4059081,26348849721.0136,27995793400.9269,26733148688.1107,27129502725.6405,26823520447.5276,27301397586.533,26782298337.0963,26949280240.1798,26796819815.9003,26795239622.8334,62246836.1932196,-18454013.4205332,-815933403.517956,-825208326.990351,-693773748.091762,-998566614.474023
"dxyear2007",-26378679912.4735,28371387.2008589,71252053.7153467,131855258.861308,96391740.5351768,74773796.7761006,634962074.171029,-153558996.701409,-9000785.73373261,26386516566.1421,27672768326.0494,26635523815.25,26823520447.5276,26758081709.3688,27019371658.2954,26646960772.6815,26812668799.4642,26689968144.4884,26739843897.8348,64960645.7073947,-40559688.0194696,-757333659.68867,-708907447.26071,-574448356.991894,-759700579.161758
"dxyear2008",-26579270368.9298,84002447.5175282,300391004.733367,522392351.783807,382574662.745886,275189631.162959,1407844863.57037,-420750975.755367,33669890.7603718,26404467968.8248,29517681745.5718,26720449166.8945,27301397586.533,27019371658.2954,28182598652.939,26811086410.8635,27209787761.5287,26991550365.3177,26884004886.3913,172420443.427694,17638768.5112806,-1774622617.96702,-1719994751.53629,-1231285884.0605,-2105425257.08886
"dxyear2009",-26843662650.1252,16130580.5969457,24429286.8965283,-112252420.081971,-179086597.473398,-265073543.607369,255312428.017684,-288399585.468242,81799350.3706395,26243884622.5794,26754226542.489,26812065698.1892,26782298337.0963,26646960772.6815,26811086410.8635,27064839442.8829,26700789187.3459,26769708034.1247,26629535611.2784,-91119736.5638567,-12369149.2622685,185216752.689486,-89797376.9513521,-219811102.921411,-105916095.844373
"dxyear2010",-26371956075.9635,33033885.6907026,227018205.634429,208096624.70012,120956789.548977,170463780.288936,803588023.51584,-178817447.587932,-158584459.575567,26660701537.9185,28004172171.1324,26738591597.3499,26949280240.1798,26812668799.4642,27209787761.5287,26700789187.3459,27099332315.0647,26906686170.5557,26894262755.1263,14175514.2644778,-156628770.756083,-969964612.393291,-914802645.571718,-732386918.759884,-972351877.045206
"dxyear2011",-26603888474.9301,35063900.9467908,239430712.565996,112527111.966365,58456438.8058649,128626271.302341,579829934.906429,-172462564.556427,-222633207.138668,26722252279.6666,27444334616.344,26777089443.1124,26796819815.9003,26689968144.4884,26991550365.3177,26769708034.1247,26906686170.5557,27032357757.5434,26768395638.2234,-134037363.477544,-152291074.977008,-530523016.505797,-613652637.299577,-505582253.097774,-474601182.1613
"dxyear2012",-26261469448.5579,12845792.4567,46664516.0539647,38007213.0185325,4400702.80766122,117049601.206354,501227446.289369,-131482372.39379,-179197150.889712,26665036646.1562,27475118597.7295,26751341724.1527,26795239622.8334,26739843897.8348,26884004886.3913,26629535611.2784,26894262755.1263,26768395638.2234,26960966402.6843,5373662.98597001,-183301464.032153,-616600936.512448,-506900378.549264,-472959802.94705,-515706627.767528
"lineageT",123331763.210401,7253711.94301702,-36590251.8749723,124669046.341985,117951896.793466,54828523.0790515,194730149.759985,2645662.83183445,99496024.9725558,-140851930.88588,430885432.498997,-71921678.0493396,62246836.1932196,64960645.7073947,172420443.427694,-91119736.5638567,14175514.2644778,-134037363.477544,5373662.98597001,202208532.096741,58163554.709682,-376089164.068701,-304075110.403237,-179602638.967615,-373170012.587406
"protocolDFCI",-81372166.6748757,7043892.87012253,-48792784.938431,23561668.9714503,16144601.2778853,-84249830.067523,-2896230.76202555,-31872244.6474786,164866023.335925,-319242558.591075,-26838400.3740478,-115273949.559626,-18454013.4205332,-40559688.0194696,17638768.5112806,-12369149.2622685,-156628770.756083,-152291074.977008,-183301464.032153,58163554.709682,171101763.187,27905998.685067,-6977819.25257267,17177087.6108028,-66426870.1084354
"cytogenetics_catFavorable",-8164990814.12816,-105738889.835924,-438650508.947675,-1057319957.20019,-1002946462.44845,-936963015.03511,-2026635341.91583,-72415604.6668119,143835674.959158,-393263811.387441,-4817707447.16199,79734507.2942757,-815933403.517956,-757333659.68867,-1774622617.96702,185216752.689486,-969964612.393291,-530523016.505797,-616600936.512448,-376089164.068701,27905998.685067,11037431732.4992,10428648518.2519,9058017686.94187,3405380113.37865
"cytogenetics_catNeutral",-7777479540.11017,-101954869.644408,-448737652.142211,-931682718.059369,-844433412.577765,-707941996.094951,-1835633119.13568,43349836.6358814,52112078.301188,-260767790.666484,-4276415562.57128,-56316280.2812539,-825208326.990351,-708907447.26071,-1719994751.53629,-89797376.9513521,-914802645.571718,-613652637.299577,-506900378.549264,-304075110.403237,-6977819.25257267,10428648518.2519,10101643881.2595,8874308261.25652,3057475780.44782
"cytogenetics_catUnfavorable",-7381580704.03882,-57038128.7562101,-278694117.763511,-531218616.983177,-457548950.608091,-387487563.815549,-1220208883.9214,103968030.988513,30286255.9182197,-170721067.314951,-2773264565.88479,-208153259.484949,-693773748.091762,-574448356.991894,-1231285884.0605,-219811102.921411,-732386918.759884,-505582253.097774,-472959802.94705,-179602638.967615,17177087.6108028,9058017686.94187,8874308261.25652,8351508471.02619,1934793833.35065
"wbc_cat>=50",-1686446621.12516,1378503.50616854,-454587627.175821,-906228651.936586,-781125986.883696,-603002485.535413,-1730061491.08232,234558004.072277,-39477821.0282439,90753569.7521238,-4601340035.19992,-40393085.542996,-998566614.474023,-759700579.161758,-2105425257.08886,-105916095.844373,-972351877.045206,-474601182.1613,-515706627.767528,-373170012.587406,-66426870.1084354,3405380113.37865,3057475780.44782,1934793833.35065,4283222730.19941
