"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012","lineageT","protocolDFCI","cytogenetics_catFavorable","cytogenetics_catNeutral","cytogenetics_catUnfavorable"
"(Intercept)",0.997762123119388,-0.00645970667918003,-0.0303725099884341,-0.0565542518024895,-0.0431458457538936,-0.0350994474307399,-0.0585186430454638,-0.0681653331468241,-0.0509542062816944,-0.546412188393268,-0.575495366859414,-0.561711512551014,-0.580155601539988,-0.571962730497143,-0.592082379116206,-0.599302610616082,-0.57849118471689,-0.585646611160828,-0.572816751315609,0.0096219047257304,-0.032086063049448,-0.298582453138288,-0.287468815450096,-0.278959800290359
"age_Dx",-0.00645970667918003,0.000608193853987443,0.0000194413824541527,0.000263480990434077,-0.00019990786940381,-0.000435912001283876,0.000119696388275977,0.0000888626206954002,0.00000150148267333231,-0.000429945992296629,-0.000355071473292504,0.0000186875669667274,0.000590143893272383,0.00077956473856007,0.00100443385178032,0.00108949710629775,0.00101850059605737,0.000961445951242801,0.000255856941105813,-0.00181085239815039,0.000732401805119342,0.0032873365728506,0.00244361007047538,0.00180970074406181
"sexM",-0.0303725099884341,0.0000194413824541527,0.0435664226295975,0.00319574390270924,0.00439761099428943,0.00580519797866898,0.00734711190979563,-0.00154343119976493,-0.000414713524827526,0.00190989158437662,0.000743589627854813,0.00277085976990254,0.000246226084129596,-0.00177410418466049,0.00262546699188126,0.00163945584122627,0.00261342540730958,0.00265707995270543,0.0006327606378488,-0.00808353182046602,-0.0000630717924921068,0.00223781532089243,0.00307088250588619,-0.000308579118201444
"SES2",-0.0565542518024895,0.000263480990434077,0.00319574390270924,0.118431538366049,0.0550596191909848,0.0555460169076649,0.0555608194332476,0.0049093620268677,0.00257229146661642,-0.00760841687148847,0.0123701285595044,0.00248755703813326,0.0140863067485646,0.018603385147876,0.0139975344445913,0.0029245551758795,0.0109343477848761,0.00737535825404091,0.0105584297226108,0.00179574720678927,0.00489835515076933,-0.0160543901536503,-0.0167040090803378,-0.0117344656222407
"SES3",-0.0431458457538936,-0.00019990786940381,0.00439761099428943,0.0550596191909848,0.10225867113123,0.0559808131954669,0.0551613603125694,-0.00225350015531841,0.000280146300131984,0.0146761438649537,0.00812554208646284,0.000961210884543499,0.00749073602109611,0.00902967228811325,0.00663481706432371,0.00179470564686571,0.00175888851052848,0.00525629638464961,0.000513979322269605,0.00587131375409798,-0.00217475150744909,-0.0174072084680656,-0.0210151132883749,-0.0170811074449219
"SES4",-0.0350994474307399,-0.000435912001283876,0.00580519797866898,0.0555460169076649,0.0559808131954669,0.103995497549507,0.055869853638991,0.00551738280235775,0.00228611406783491,-0.00180864323766436,0.00169106504727258,-0.00407317198683891,-0.00010235581275746,0.0042921335983711,-0.00615115826348436,-0.0091849776812234,-0.00734831980248785,-0.00546255644558926,-0.00356429467426047,0.00420862132358209,-0.00196450241423062,-0.0195666488825717,-0.0215333381217677,-0.0233501711502159
"SES5",-0.0585186430454638,0.000119696388275977,0.00734711190979563,0.0555608194332476,0.0551613603125694,0.055869853638991,0.112095774004745,0.00434547411728875,0.00043125129068771,-0.00268430536721017,0.00671465573982826,0.00726183588358342,0.00998478876050469,0.0107941061315293,0.00640185250234954,0.00428057188543522,0.00204687763870254,0.00410852460877075,0.00740216586427205,0.00299055186496042,-0.000576742835620516,-0.00594234083327426,-0.0110787962209389,-0.00814556693938956
"ruralY",-0.0681653331468241,0.0000888626206954002,-0.00154343119976493,0.0049093620268677,-0.00225350015531841,0.00551738280235775,0.00434547411728875,0.170267893555121,0.0264314503329902,0.00212257645221219,0.0169216004422959,0.0214877225658007,0.015123149219606,0.0216275826858513,0.0160777593495387,0.0119050130171515,0.0209470224913663,0.0128024059534909,0.0155575023248177,0.0124870305163176,0.0039872943429413,0.0156226142459414,0.0155302452744506,0.0109503382435769
"distanceshort",-0.0509542062816944,0.00000150148267333231,-0.000414713524827526,0.00257229146661642,0.000280146300131984,0.00228611406783491,0.00043125129068771,0.0264314503329902,0.06746431757683,0.00204647711422682,0.000137116329743315,-0.00531081634854804,-0.00779562332489859,-0.0088907859756996,-0.00955634311709472,-0.00440481706963786,-0.00609765996683416,-0.00764522999006104,-0.00366031660561994,0.00570289215673651,-0.00754777908185118,0.000482003819751547,0.0017603922786561,0.00000998510347232166
"dxyear2003",-0.546412188393268,-0.000429945992296629,0.00190989158437662,-0.00760841687148847,0.0146761438649537,-0.00180864323766436,-0.00268430536721017,0.00212257645221219,0.00204647711422682,0.945422845359733,0.54809859073651,0.548460449814157,0.546654419543714,0.545387281262591,0.547400859395729,0.547736967274537,0.547260293998901,0.547236863038624,0.546470786240505,0.0134626896167788,0.000895423572491991,-0.000964886532504162,-0.00578432226362878,-0.0141102317700451
"dxyear2004",-0.575495366859414,-0.000355071473292504,0.000743589627854813,0.0123701285595044,0.00812554208646284,0.00169106504727258,0.00671465573982826,0.0169216004422959,0.000137116329743315,0.54809859073651,0.723495110345559,0.550850813303839,0.5534617783885,0.551758037806609,0.553453753603886,0.55118765706713,0.553070033732242,0.552177849546261,0.55219463323422,0.0154607274171264,0.00517731041396533,0.0137577063138275,0.0152655705110237,0.0212247942296391
"dxyear2005",-0.561711512551014,0.0000186875669667274,0.00277085976990254,0.00248755703813326,0.000961210884543499,-0.00407317198683891,0.00726183588358342,0.0214877225658007,-0.00531081634854804,0.548460449814157,0.550850813303839,0.724347068884616,0.558269338561886,0.560046985186993,0.56148410439286,0.55890419700439,0.559871477420047,0.557545718382116,0.55932308124127,0.00467733817364627,0.0264036577777906,0.00109452334637912,-0.00130009529797369,-0.00996754860283879
"dxyear2006",-0.580155601539988,0.000590143893272383,0.000246226084129596,0.0140863067485646,0.00749073602109611,-0.00010235581275746,0.00998478876050469,0.015123149219606,-0.00779562332489859,0.546654419543714,0.5534617783885,0.558269338561886,0.655686720632942,0.562792496985443,0.565080510321256,0.560719287005469,0.562548382108847,0.560315454669913,0.560993775333752,0.00468102244629687,0.0293939313819012,0.00827146077774939,0.0123187168771017,0.0104348797440387
"dxyear2007",-0.571962730497143,0.00077956473856007,-0.00177410418466049,0.018603385147876,0.00902967228811325,0.0042921335983711,0.0107941061315293,0.0216275826858513,-0.0088907859756996,0.545387281262591,0.551758037806609,0.560046985186993,0.562792496985443,0.69111023896212,0.566658909328386,0.56232783544606,0.564083894788157,0.562321281493385,0.562780156558616,-0.00223146310442404,0.03601220973837,0.000398240771169468,-0.00243119331808272,-0.00124721795143344
"dxyear2008",-0.592082379116206,0.00100443385178032,0.00262546699188126,0.0139975344445913,0.00663481706432371,-0.00615115826348436,0.00640185250234954,0.0160777593495387,-0.00955634311709472,0.547400859395729,0.553453753603886,0.56148410439286,0.565080510321256,0.566658909328386,0.66591825439754,0.566185881509681,0.566721654144116,0.564426809929067,0.564432935696116,-0.000668401511353858,0.0377343259733468,0.0191282797633117,0.0196850812792598,0.0122986213058155
"dxyear2009",-0.599302610616082,0.00108949710629775,0.00163945584122627,0.0029245551758795,0.00179470564686571,-0.0091849776812234,0.00428057188543522,0.0119050130171515,-0.00440481706963786,0.547736967274537,0.55118765706713,0.55890419700439,0.560719287005469,0.56232783544606,0.566185881509681,0.67752577019239,0.562537426153251,0.562649205494017,0.561332861699121,-0.00198011314677598,0.0334800357994407,0.0353489213254738,0.0283116783743537,0.0248343029990236
"dxyear2010",-0.57849118471689,0.00101850059605737,0.00261342540730958,0.0109343477848761,0.00175888851052848,-0.00734831980248785,0.00204687763870254,0.0209470224913663,-0.00609765996683416,0.547260293998901,0.553070033732242,0.559871477420047,0.562548382108847,0.564083894788157,0.566721654144116,0.562537426153251,0.63950820204956,0.562218388030045,0.562393638574227,0.00583853492160622,0.0328435478474176,0.00686633047831682,0.00591522652928081,0.00346543811074604
"dxyear2011",-0.585646611160828,0.000961445951242801,0.00265707995270543,0.00737535825404091,0.00525629638464961,-0.00546255644558926,0.00410852460877075,0.0128024059534909,-0.00764522999006104,0.547236863038624,0.552177849546261,0.557545718382116,0.560315454669913,0.562321281493385,0.564426809929067,0.562649205494017,0.562218388030045,0.647463956672548,0.560440359451144,0.00396978119127034,0.0315622932651691,0.0207887596282549,0.0123824361594764,0.023537070597044
"dxyear2012",-0.572816751315609,0.000255856941105813,0.0006327606378488,0.0105584297226108,0.000513979322269605,-0.00356429467426047,0.00740216586427205,0.0155575023248177,-0.00366031660561994,0.546470786240505,0.55219463323422,0.55932308124127,0.560993775333752,0.562780156558616,0.564432935696116,0.561332861699121,0.562393638574227,0.560440359451144,0.621763593069675,0.00601080568638212,0.0338285132321315,0.00537162601613737,0.00324501854755975,0.00256532314174034
"lineageT",0.0096219047257304,-0.00181085239815039,-0.00808353182046602,0.00179574720678927,0.00587131375409798,0.00420862132358209,0.00299055186496042,0.0124870305163176,0.00570289215673651,0.0134626896167788,0.0154607274171264,0.00467733817364627,0.00468102244629687,-0.00223146310442404,-0.000668401511353858,-0.00198011314677598,0.00583853492160622,0.00396978119127034,0.00601080568638212,0.0982332158474035,0.00391875052538055,-0.013006647073629,-0.0355734585442378,-0.0132575040251602
"protocolDFCI",-0.032086063049448,0.000732401805119342,-0.0000630717924921068,0.00489835515076933,-0.00217475150744909,-0.00196450241423062,-0.000576742835620516,0.0039872943429413,-0.00754777908185118,0.000895423572491991,0.00517731041396533,0.0264036577777906,0.0293939313819012,0.03601220973837,0.0377343259733468,0.0334800357994407,0.0328435478474176,0.0315622932651691,0.0338285132321315,0.00391875052538055,0.0947251452138629,-0.0057996042598599,-0.0149078099647106,-0.00887894605847694
"cytogenetics_catFavorable",-0.298582453138288,0.0032873365728506,0.00223781532089243,-0.0160543901536503,-0.0174072084680656,-0.0195666488825717,-0.00594234083327426,0.0156226142459414,0.000482003819751547,-0.000964886532504162,0.0137577063138275,0.00109452334637912,0.00827146077774939,0.000398240771169468,0.0191282797633117,0.0353489213254738,0.00686633047831682,0.0207887596282549,0.00537162601613737,-0.013006647073629,-0.0057996042598599,0.313093979048383,0.28056811212292,0.276095920747308
"cytogenetics_catNeutral",-0.287468815450096,0.00244361007047538,0.00307088250588619,-0.0167040090803378,-0.0210151132883749,-0.0215333381217677,-0.0110787962209389,0.0155302452744506,0.0017603922786561,-0.00578432226362878,0.0152655705110237,-0.00130009529797369,0.0123187168771017,-0.00243119331808272,0.0196850812792598,0.0283116783743537,0.00591522652928081,0.0123824361594764,0.00324501854755975,-0.0355734585442378,-0.0149078099647106,0.28056811212292,0.307608358516736,0.276291487587212
"cytogenetics_catUnfavorable",-0.278959800290359,0.00180970074406181,-0.000308579118201444,-0.0117344656222407,-0.0170811074449219,-0.0233501711502159,-0.00814556693938956,0.0109503382435769,0.00000998510347232166,-0.0141102317700451,0.0212247942296391,-0.00996754860283879,0.0104348797440387,-0.00124721795143344,0.0122986213058155,0.0248343029990236,0.00346543811074604,0.023537070597044,0.00256532314174034,-0.0132575040251602,-0.00887894605847694,0.276095920747308,0.276291487587212,0.378283337203623
